date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:15:02	7781/7781	---M-Z	200	added ('OK')	text/css	etag:%221e65-60cfa618c6bd4-gzip%22	https://indoinvite.com/nikah/css/magnific-popup.css	C:/Users/julia/OneDrive/Desktop/Project%20Arip/indoinvite.com/nikah/css/magnific-popup.css	(from https://indoinvite.com/s/1952/undangan/97?kpd=Bapak%20Budi&contoh=1)
16:15:02	3630/3630	---M-Z	200	added ('OK')	text/css	etag:%22e2e-60cfa618c6bd4-gzip%22	https://indoinvite.com/nikah/css/owl.carousel.min.css	C:/Users/julia/OneDrive/Desktop/Project%20Arip/indoinvite.com/nikah/css/owl.carousel.min.css	(from https://indoinvite.com/s/1952/undangan/97?kpd=Bapak%20Budi&contoh=1)
16:15:02	1055/1055	---M-Z	200	added ('OK')	text/css	etag:%2241f-60cfa618c6bd4-gzip%22	https://indoinvite.com/nikah/css/owl.theme.default.min.css	C:/Users/julia/OneDrive/Desktop/Project%20Arip/indoinvite.com/nikah/css/owl.theme.default.min.css	(from https://indoinvite.com/s/1952/undangan/97?kpd=Bapak%20Budi&contoh=1)
16:15:02	37791/37791	---M-Z	200	added ('OK')	text/css	etag:%22939f-60cfa618c6bd4-gzip%22	https://indoinvite.com/nikah/css/style.css	C:/Users/julia/OneDrive/Desktop/Project%20Arip/indoinvite.com/nikah/css/style.css	(from https://indoinvite.com/s/1952/undangan/97?kpd=Bapak%20Budi&contoh=1)
16:15:03	15413/15413	---M-Z	200	added ('OK')	application/javascript	etag:%223c35-60cfa618e2153-gzip%22	https://indoinvite.com/nikah/js/modernizr-2.6.2.min.js	C:/Users/julia/OneDrive/Desktop/Project%20Arip/indoinvite.com/nikah/js/modernizr-2.6.2.min.js	(from https://indoinvite.com/s/1952/undangan/97?kpd=Bapak%20Budi&contoh=1)
16:15:03	26053/26053	---MCZ	200	added ('OK')	text/css	etag:%2265c5-BVfTdFS2f0LyyxAeV+UHD7EZNXA%22	https://unpkg.com/aos@2.3.1/dist/aos.css	C:/Users/julia/OneDrive/Desktop/Project%20Arip/unpkg.com/aos@2.3.1/dist/aos.css	(from https://indoinvite.com/s/1952/undangan/97?kpd=Bapak%20Budi&contoh=1)
16:15:04	22567/22567	---M-Z	200	added ('OK')	text/css	etag:%225827-60c9952aedbe4-gzip%22	https://indoinvite.com/css/template.css	C:/Users/julia/OneDrive/Desktop/Project%20Arip/indoinvite.com/css/template.css	(from https://indoinvite.com/s/1952/undangan/97?kpd=Bapak%20Budi&contoh=1)
16:15:04	62/62	---MCZ	302	error ('Found')	text/plain	date:Tue,%2009%20Jan%202024%2009:15:02%20GMT	https://unpkg.com/tailwindcss@^1.0/dist/tailwind.min.css	C:/Users/julia/OneDrive/Desktop/Project%20Arip/unpkg.com/tailwindcss@^1.0/dist/tailwind.min.css	(from https://indoinvite.com/s/1952/undangan/97?kpd=Bapak%20Budi&contoh=1)
16:15:04	1967619/1967619	---MCZ	200	added ('OK')	text/css	etag:%221e0603-60cfa61bb7a8c-gzip%22	https://indoinvite.com/tailwind.css	C:/Users/julia/OneDrive/Desktop/Project%20Arip/indoinvite.com/tailwind.css	(from https://indoinvite.com/s/1952/undangan/97?kpd=Bapak%20Budi&contoh=1)
16:15:04	1967618/1967618	---MCZ	200	added ('OK')	text/css	etag:%221e0602-+7g5GxBqQ0BFI5Mmd9f2Ke69Z3U%22	https://unpkg.com/tailwindcss@1.9.6/dist/tailwind.min.css	C:/Users/julia/OneDrive/Desktop/Project%20Arip/unpkg.com/tailwindcss@1.9.6/dist/tailwind.min.css	(from https://indoinvite.com/s/1952/undangan/97?kpd=Bapak%20Budi&contoh=1)
